,company_id,Company Name,Estab_year,Employees_count
310,3523,Gallagher and Mohan,2018,50 - 200
311,2917,Third Wave Coffee,2016,More than 1000
312,4143,Vymo,2013,50 - 200
313,1329,Acheron Software Consultancy,2012,50 - 200
314,3850,Etelligens Technologies,2015,50 - 200
315,3076,iMumz,2019,0 - 10
316,7795,Spacewell,1989,200 - 500
317,4979,UniAcco,2019,200 - 500
318,5061,Vitech Systems Group,1986,More than 1000
319,6049,1Bstories,2021,10--50
320,9289,Bosch India,1922,More than 1000
321,2461,Clarivate Analytics,2016,More than 1000
322,7748,Financial Software And Systems,1991,More than 1000
323,1993,Pibit.ai,2020,10--50
324,9387,Sign3 Labs,2021,0 - 10
325,1733,SquadStack,2014,50 - 200
326,8320,goGlocal,2021,10--50
327,4506,Nemetschek Group,1963,More than 1000
328,8567,Optum,2010,
329,7222,Purplle,2012,200 - 500
330,9154,Skillovilla,2020,50 - 200
331,5393,SocialPilot,2014,10--50
332,8787,WebMobril Technologies,2014,50 - 200
333,9627,GMR Group,1900,500 - 1000
334,1352,Klimb.io,2015,10--50
335,9889,Quince,2018,50 - 200
336,2457,Rattle,2020,10--50
337,8268,Refactor Academy,2022,10--50
338,5553,Reserve Bank Information Technology,2016,50 - 200
339,5807,Sagarsoft,1996,200 - 500
340,9807,Corus Infotech,2016,10--50
341,7203,CYK Hospitalities,2019,10--50
342,8808,Diagnal Technologies,2015,50 - 200
343,7066,Lakeba Group,2013,50 - 200
344,3063,Tata Tele Business Services,1996,More than 1000
345,3325,TheHouseKraft,2017,10--50
346,4205,Verdis.ai,2015,10--50
347,8897,FullThrottle Labs,2018,0 - 10
348,9495,Illumine,2017,10--50
349,4647,JiyoFullest,2017,0 - 10
350,1361,MagickWoods,1993,More than 1000
351,4182,Neokred,2019,10--50
352,7138,Sourcy,2021,0 - 10
353,9254,Chargeup,2019,10--50
354,9875,Miko,2015,50 - 200
355,7546,Edvak,2021,50 - 200
356,7601,Meta Z,2021,10--50
357,5012,Rakuten,1997,More than 1000
358,2186,Beamer,2017,10--50
359,2234,MyGuider,2022,0 - 10
360,9349,ShareChat,2015,500 - 1000
361,1271,ACS Solutions,1998,More than 1000
362,4228,Axis Mutual Fund,2009,500 - 1000
363,3881,Nykaa,2012,200 - 500
364,6910,Paytm,2000,More than 1000
365,9951,A Plus Topper,2017,0 - 10
366,2346,Accrete.AI,2017,10--50
367,1744,Brandlabs,2020,0 - 10
368,8259,Mercari,2013,500 - 1000
369,2888,Microsoft Bing,2009,200 - 500
370,4342,Ideapoke,2012,10--50
371,3180,MakeMyTrip,2000,More than 1000
372,8175,Surekha Technologies,2011,50 - 200
373,8270,Viacom18,2007,More than 1000
374,3769,VMware,1998,More than 1000
375,8110,AfterLife,2021,0 - 10
376,9802,Beyondsoft,1995,More than 1000
377,8840,inFeedo,2016,50 - 200
378,6908,Regalo Kitchens,2008,200 - 500
379,5316,Safegold,2017,10--50
380,4983,SignDesk,2016,200 - 500
381,3965,Ascendion,2022,More than 1000
382,2865,Baazi Games,2014,200 - 500
383,7014,Design Indya Advertising,2008,50 - 200
384,6455,Entri.app,2015,50 - 200
385,8014,JioSaavn,2007,50 - 200
386,9423,Lendingkart,2014,200 - 500
387,8215,Sloovi,2013,50 - 200
388,2301,Syfe,2018,50 - 200
389,7170,Text Mercato,2015,10--50
390,4988,Urja Communications,1986,50 - 200
391,2951,Foundation AI,2018,10--50
392,9567,inai,2021,10--50
393,2519,Bito,2021,10--50
394,3899,Codemonk,2018,10--50
395,7399,InterviewVector,2020,10--50
396,3891,Kapable,2019,10--50
397,9802,LenDenClub,2014,10--50
398,3733,Mantra Labs,2009,50 - 200
399,8641,Medi Assist,2002,More than 1000
400,3642,Mercury Solutions Limited,2000,50 - 200
401,6123,NextBillion AI,2019,10--50
402,8833,App2food,2014,10--50
403,2979,Blowhorn,2014,200 - 500
404,3819,Cholamandalam MS General Insurance,2001,500 - 1000
405,2492,Cornerstone OnDemand,1999,More than 1000
406,7568,Luganodes,2022,10--50
407,5618,Ushur,2014,50 - 200
408,3208,Amazon,1994,More than 1000
409,8642,Druva,2008,500 - 1000
410,9474,GoGroup,2019,50 - 200
411,6786,Krones,1951,More than 1000
412,3563,Rippling,2016,More than 1000
413,9648,Wissen Technology,1997,200 - 500
414,9673,Addverb Technologies,2016,50 - 200
415,7447,Hub,2021,50 - 200
416,2475,Techmaghi,2021,10--50
417,1875,Terrascope,2022,50 - 200
418,8849,13DesignStreet,2012,10--50
419,6239,Cosmonet Solutions,1998,50 - 200
420,2490,DealShare.in,2018,500 - 1000
421,4215,NexTurn,2021,50 - 200
422,6239,Richpanel,2018,10--50
423,3931,upGrad for Business,2008,50 - 200
424,9149,Encore Software Services,1998,200 - 500
425,8283,Healthi,2014,10--50
426,5939,Masters' Union,2020,10--50
427,4794,Upstox,2010,200 - 500
428,1687,Flash,2022,10--50
429,1472,SBD Automotive,1997,50 - 200
430,2218,Suki,2017,10--50
431,9339,HDFC Bank,1994,More than 1000
432,5131,Kutumb,2020,50 - 200
433,7808,Qikwork,2020,10--50
434,7303,ZopSmart Technology,2016,50 - 200
435,6751,91springboard,2012,50 - 200
436,2517,Burosys Furniture,2004,10--50
437,4742,Capri Global Capital,1997,500 - 1000
438,4497,Kezan Consulting,2022,10--50
439,1962,Kofluence,2019,10--50
440,9028,My Tirth India,2023,10--50
441,4167,Shield,2008,50 - 200
