Sr No.,Company Name,Estab_year,Employees_count,Location,Designation,Involvement,Skills,HR_Name,Experience,linkedIN,Industry,LinkedIn Emp Count,LinkedIn Followers
268,Swimlane,2014,200 - 500,Hyderabad,Principal Engineer (Dot .NET),Full Time,".NET,C#,Microservices,Angular,AWS",Priyanka Kumari,15-18 Years,https://www.linkedin.com/company/swimlane/about/,Computer and Network Security,238 employees,"10,551 followers"
269,Swimlane,2014,200 - 500,Hyderabad,Senior Dot .NET Full Stack Developer,Full Time,".NET,C#,Microservices,Angular,AWS",Priyanka Kumari,8-13 Years,https://www.linkedin.com/company/swimlane/about/,Computer and Network Security,238 employees,"10,551 followers"
270,XIPHIAS Immigration,2009,200 - 500,Bangalore,Immigration Counsellor,Full Time,"Business Development,Sales",Hr Xiphias,1-4 Years,https://www.linkedin.com/company/xiphias-immigration-pvt-limited/about/,Investment Management,137 employees,"10,770 followers"
271,2Factor,2015,0 - 10,Bangalore,Staff Software Engineer,Full Time,"Java,Data Structures,Algorithms,Docker,Architecture",Megha Joshi,9-14 Years,https://www.linkedin.com/company/solv-technologies/?originalSubdomain=in,Telecommunications,9 employees,"4,294 followers"
272,Adaptive,1994,Oct-50,Work From Home,Blockchain Developer,Full Time,Node.js,Akshay Nawani,3-8 Years,-----,Not Available,Not Available,Not Available
273,BetterPlace,2015,500 - 1000,Bangalore,Data Engineer,Full Time,"SQL,Big Data,Data Warehousing,AWS,Python",Nikita Sah,3-5 Years,https://www.linkedin.com/company/betterplace-safety-solutions-pvt-ltd/,Software Development,"1,047 employees","77,271 followers"
274,Heart It Out,2018,50 - 200,Bangalore,Frontend Developer (Internship),Internship,"CSS,HTML,JavaScript,jQuery",Nithya J Rao,0,https://www.linkedin.com/company/heart-it-out/about/,Mental Health Care,67 employees,"10,156 followers"
275,Leucine,2017,Oct-50,Bangalore,QA Engineer - Automation,Full Time,"Automation Testing,Cucumber,Python,SDET,Selenium",Pooja Saxena,5-6 Years,https://www.linkedin.com/company/leucinetech/?originalSubdomain=in,Not Available,Not Available,Not Available
276,Market Pulse Technologies,2015,Oct-50,Bangalore,Non IT Recruiter,Full Time,"Non IT Recruitment,Performance Management,Recruitment",Tushar Kathuria,4-7 Years,https://www.linkedin.com/company-beta/15089080/admin/updates/,Not Available,Not Available,Not Available
277,Market Pulse Technologies,2015,Oct-50,Bangalore,Public Relations,Full Time,"Corporate Communication,Public Relations,Media Relations",Tushar Kathuria,4-9 Years,https://www.linkedin.com/company-beta/15089080/admin/updates/,Not Available,Not Available,Not Available
278,Market Pulse Technologies,2015,Oct-50,Bangalore,Social Media Manager,Full Time,"SEM,Social Media Marketing,Google Ads,Content Marketing",Tushar Kathuria,4-9 Years,https://www.linkedin.com/company-beta/15089080/admin/updates/,Not Available,Not Available,Not Available
279,Probe CX,1979,More than 1000,Hyderabad,BPO Pricing Analyst,Full Time,BPO Operations,Aswin Dinesh K,2-7 Years,https://www.linkedin.com/company/probe-cx/about/,Outsourcing and Offshoring Consulting,"3,858 employees","12,824 followers"
280,Squareshift,2019,Oct-50,Hyderabad,React.js Developer,Full Time,"CSS,HTML,JavaScript,jQuery,React.js",Helora Padmini,3-6 Years,https://www.linkedin.com/company/squareshift/about/,Information Technology & Services,78 employees,"5,362 followers"
281,ASAP Realtech,2022,Oct-50,Mumbai,Sales Manager - Real Estate,Full Time,"Direct Sales,Sales",Hr Assist,2-5 Years,https://www.linkedin.com/company/asap-realtech/about/,Real Estate,15 employees,347 followers
282,D. E. Shaw,1988,More than 1000,Bangalore,Software Developer / Project Leader,Full Time,"C++,Java,Python",Harshit Goel,4-8 Years,-----,Not Available,Not Available,Not Available
283,NiYO Solutions,2015,200 - 500,Bangalore,PE QA,Full Time,"Selenium,Appium,REST Assured,Java",Shrishti Singh,7-12 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,785 followers"
284,RupiCard,2022,0 - 10,Bangalore,Motion Graphic Designer,Full Time,"Adobe After Effects,Illustration,Graphic Design,Adobe Premiere Pro",Arun Ks,1-4 Years,https://www.linkedin.com/company/rupicard/about/,Financial Services,7 employees,265 followers
285,Shivam Medisoft Services,2002,200 - 500,Hyderabad,Digital Marketing,Full Time,"Content Marketing,Content Writing,English Content",Arya Suresh,0-0 Years,https://www.linkedin.com/company/shivammedisoft.com/,Hospitals and Health Care,162 employees,"1,176 followers"
286,Symphony Talent,2016,200 - 500,Noida,Associate Java Full Stack Developer,Full Time,"Java,Angular,MySQL,Python,Node.js",Manjari Rastogi,1-2 Years,https://www.linkedin.com/company/symphony-talent/about/,Software Development,405 employees,"9,906 followers"
287,Symphony Talent,2016,200 - 500,Bangalore,Quality Analyst,Full Time,"Selenium,Manual Testing,Automation Testing,SDET",Aditi Pradhan,2-4 Years,https://www.linkedin.com/company/symphony-talent/about/,Software Development,405 employees,"9,906 followers"
288,VerSe Innovation,2007,500 - 1000,Bangalore,Data Platform,Full Time,"Data Analysis,Data Streaming,NoSQL,Search,Elasticsearch,Flink,Hadoop,Hive,Kafka,Pig,Spark,SQL,Storm",Khushboo Jain,2-5 Years,https://www.linkedin.com/company/verse-innovation/about/,Software Development,811 employees,"65,915 followers"
289,VFI SLK,2019,500 - 1000,Pune,Java Full Stack Developer,Full Time,"Java,Angular,Spring Boot,Microservices",Chippa Kiranmai,5-10 Years,https://www.linkedin.com/company/vfi-slk/?originalSubdomain=in,IT Services and IT Consulting,"1,041 employees","41,110 followers"
290,VFI SLK,2019,500 - 1000,Bangalore,Software Developer,Full Time,"Angular,Java,Spring Boot,Microservices,SQL",Deepthi,4-9 Years,https://www.linkedin.com/company/vfi-slk/?originalSubdomain=in,IT Services and IT Consulting,"1,041 employees","41,111 followers"
291,Carnera Technologies,2018,50 - 200,Work From Home,SFDC Developer,Full Time,Salesforce,Roshni J,5-8 Years,https://www.linkedin.com/company/carnera,Information Technology & Services,44 employees,743 followers
292,Grey Chain,2016,50 - 200,"Delhi, Work From Home",Python Developer,Full Time,"Python,Django,Flask",Pratikshya Pusty,3-6 Years,https://www.linkedin.com/company/grey-chain/,IT Services and IT Consulting,64 employees,"4,194 followers"
293,ITech Software Solution,2007,50 - 200,Bhopal,Vaadin Developer,Full Time,"Java,Vaadin",Rashmi Sahu,4-6 Years,https://linkedin.com/company/itech-software-solution-pvt--ltd-,IT Services and IT Consulting,62 employees,"1,111 followers"
294,LTIMindtree,1996,More than 1000,Mumbai,SAP Analytics Cloud Consultant,Full Time,"SAP Analytics Cloud,SAP BPC,Data Visualization,Data Integration,Data Modelling",Bhaskar Anand,8-13 Years,https://www.linkedin.com/company/ltimindtree/about/,IT Services and IT Consulting,"96,704 employees","3,311,117 followers"
295,LTIMindtree,1996,More than 1000,Bangalore,SAP Analytics Cloud Consultant,Full Time,"SAP Analytics Cloud,SAP BPC,Data Visualization,Data Modelling,SAP BW",Bhaskar Anand,8-13 Years,https://www.linkedin.com/company/ltimindtree/about/,IT Services and IT Consulting,"96,704 employees","3,311,117 followers"
296,ManasIO,2019,0 - 10,Chennai,Software Automation Engineer,Full Time,"Automation Testing,Manual Testing,Performance Testing,SDET,Security Testing,Cucumber,Java,JavaScript,JMeter,Selenium",Tanaya Das,3-6 Years,https://www.linkedin.com/company/manasio/about/,Human Resources Services,19 employees,"3,869 followers"
297,Providence,1993,More than 1000,Hyderabad,Power BI Architect,Full Time,"Power BI,SQL",Rajesh Pandey,5-6 Years,https://www.linkedin.com/company/providencehealthsystem/about/,Hospitals and Health Care,"42,460 employees","77,676 followers"
298,Purview,2010,More than 1000,Pune,Collibra Developer,Full Time,"Java,Groovy",Naveen Kumar,5-10 Years,https://www.linkedin.com/company/purviewservices/,IT Services and IT Consulting,209 employees,"63,914 followers"
299,Symphony Talent,2016,200 - 500,Bangalore,Full Stack Developer,Full Time,"Java,Angular,Python,Elasticsearch",Aditi Pradhan,1-3 Years,https://www.linkedin.com/company/symphony-talent/about/,Software Development,405 employees,"9,906 followers"
300,Tesco,2004,More than 1000,Bangalore,Software Development Manager - UI,Full Time,"CSS,HTML,JavaScript,React.js",Dharmandra Raja,12-16 Years,https://www.linkedin.com/company/-tesco/,Retail,"93,060 employees","683,233 followers"
301,Allen Career Institute,1988,More than 1000,Bangalore,Video Engineer,Full Time,"Java,Python,Video Codecs,AWS",Ananya Sharma,5-8 Years,https://www.linkedin.com/company/allen-career-institute/,Education Administration Programs,"6,842 employees","97,666 followers"
302,Awign,2016,200 - 500,"Bangalore, Chennai, Jaipur",Golang Developer,Full Time,Golang,Deepa Rani,4-8 Years,https://www.linkedin.com/company/awign-enterprises/?originalSubdomain=in,"Technology, Information and Internet",926 employees,"64,014 followers"
303,Nadcab Labs,2015,50 - 200,Allahabad,Digital Marketing Executive,Full Time,"Content Marketing,Digital Marketing,Facebook Marketing,Google Ads,Lead Generation,SEM,SEO,Social Media Marketing",Simran K,1-2 Years,http://www.linkedin.com/company/nadcab,Blockchain Services,81 employees,"11,326 followers"
304,Pluralsight,2004,More than 1000,Bangalore,Senior Manager,Full Time,"Application Security,Cloud Security,Network Security,Vulnerability Assessment",Sahana Hebbale Subbaiah,9-13 Years,https://www.linkedin.com/company/pluralsight/about/,Software Development,"2,425 employees","185,170 followers"
305,Purview,2010,More than 1000,Pune,DevOps With Calypso,Full Time,"DevOps,Calypso",Naveen Kumar,5-10 Years,https://www.linkedin.com/company/purviewservices/,IT Services and IT Consulting,209 employees,"63,914 followers"
306,Strata,2019,Oct-50,Bangalore,Content Writer,Full Time,"Content Writing,Wordpress,CMS",Gaurav Kaushik,5-10 Years,https://www.linkedin.com/company/strataprop/about/,Investment Management,109 employees,"16,074 followers"
307,Tredence Inc,2013,500 - 1000,Bangalore,GCP COE Lead,Full Time,"Google Cloud,Airflow,Big Data,Hadoop,Data Warehousing",Ruchi Yadav,15-20 Years,https://www.linkedin.com/company/tredence/,Business Consulting and Services,"1,949 employees","192,161 followers"
308,Treflo,2019,Oct-50,Bangalore,DevOps Engineer,Full Time,"CI - CD,AWS,Azure,Docker,Google Cloud,Jenkins,Kubernetes,OpenStack",Antara Chaudhury,2-6 Years,https://www.linkedin.com/company/treflo/about/,IT Services and IT Consulting,27 employees,"7,607 followers"
309,Walmart Global Tech India,1962,More than 1000,Bangalore,Senior DATA Analyst,Full Time,"Data Warehousing,NoSQL",Rupali Patwa,6-10 Years,https://www.linkedin.com/company/walmartglobaltechindia/,IT Services and IT Consulting,"8,971 employees","941,828 followers"
310,Walmart Global Tech India,1962,More than 1000,Chennai,Senior Data Engineer,Full Time,"Data Analysis,Hadoop,Hive,Spark,SQL",Rupali Patwa,6-10 Years,https://www.linkedin.com/company/walmartglobaltechindia/,IT Services and IT Consulting,"8,971 employees","941,828 followers"
311,Bidgely,2010,200 - 500,Bangalore,Sr. Data Engineer,Full Time,"Spark,ETL,SQL,Data Warehousing,Big Data",Rashmi Srivastava,7-10 Years,-----,Not Available,Not Available,Not Available
312,Deloitte,1845,More than 1000,Bangalore,Informatica IDQ Developer,Full Time,"Informatica PowerCenter,IDQ,SQL,Quality Control,Informatica",Lithin Raj,3-8 Years,https://www.linkedin.com/company/deloitte/,Business Consulting and Services,"436,938 employees","13,278,882 followers"
313,Epsilon,2015,More than 1000,Bangalore,Project Manger,Full Time,"Agile,Program Management,Project Management,Scrum",Katesha Desouza,10-14 Years,-----,Not Available,Not Available,Not Available
314,EY,1989,More than 1000,Bangalore,Java Developer,Full Time,"Java,MongoDB,Spring Boot,Elasticsearch,Microservices",Vijay Ks,5-10 Years,https://www.linkedin.com/company/ernstandyoung/about/,Professional Services,"364,614 employees","7,957,311 followers"
315,NiYO Solutions,2015,200 - 500,Bangalore,Principal Engineer,Full Time,"Golang,Node.js,Data Structures,Algorithms",Vishali Vashnavi,8-11 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,785 followers"
316,NoBroker,2014,More than 1000,Bangalore,Software Engineer - Python,Full Time,"Machine Learning,Python,PyTorch,TensorFlow",Ponshanker Selvaraj,2-5 Years,http://www.linkedin.com/company/nobroker-in,Real Estate,"3,557 employees","216,850 followers"
317,Plivo,2011,50 - 200,Bangalore,Software Development Engineer I - Backend,Full Time,"AWS,Golang,Java,Python",Harshit Lokhande,2-4 Years,-----,Not Available,Not Available,Not Available
318,Tredence Inc,2013,500 - 1000,Bangalore,Snowflake COE Lead,Full Time,"Snowflake,Data Warehousing,Data Analysis,Python,AWS",Ruchi Yadav,15-20 Years,https://www.linkedin.com/company/tredence/,Business Consulting and Services,"1,949 employees","192,161 followers"
319,Trigent Software,1995,More than 1000,Bangalore,Admin Assistant,Full Time,Procurement,Richard Prabhakar,3-7 Years,-----,Not Available,Not Available,Not Available
320,Wipro,1945,More than 1000,Pune,Software Developer,Full Time,"Embedded C,CAN,CANalyzer,VectorCast",Prajna A,4-9 Years,https://www.linkedin.com/company/wipro/about/,IT Services and IT Consulting,"289,791 employees","7,706,023 followers"
321,Bizongo,2014,200 - 500,Gurgaon,Specialist - Partner Experience,Full Time,"Customer Interaction,Customer Relationship,Customer Service,Key Account Management",Shubhra Bhargava,3-7 Years,-----,Not Available,Not Available,Not Available
322,Impact Analytics,2015,50 - 200,Bangalore,Database Engineer,Full Time,"Python,SQL,ETL,Database Development,Big Data",Sonam Yadav,4-7 Years,-----,Not Available,Not Available,Not Available
323,Impact Analytics,2015,50 - 200,Bangalore,Senior Database Engineering Manager,Full Time,"ETL,Python,Big Data,SQL,Database Administration",Sonam Yadav,15-20 Years,-----,Not Available,Not Available,Not Available
324,JFrog,2008,500 - 1000,Bangalore,Payroll Manager,Full Time,"Accounting,Finance,Taxation,Financial Analysis,Financial Planning,Financial Reporting,Income Tax,Payroll Management",Barath Pr,3-7 Years,https://www.linkedin.com/company/jfrog-ltd/about/,Software Development,"1,463 employees","46,812 followers"
325,Kyndryl,2021,More than 1000,Work From Home,Senior Software Engineer,Full Time,"C++,Java,SQL,Linux,C",Sunil Kandukuri,5-10 Years,https://www.linkedin.com/company/kyndryl/about/,IT Services and IT Consulting,"52,843 employees","284,895 followers"
326,Learning Routes,2016,50 - 200,Mumbai,Sales Associate,Full Time,"Business Development,Direct Sales,Sales,Telecalling",Nandini Goel,0-4 Years,https://www.linkedin.com/company/kennis-learning-routes/about/,E-Learning Providers,201 employees,"26,364 followers"
327,Nelito,1995,More than 1000,Mumbai,Mobile Application Testing,Full Time,"Appium,Xcode,Java,Mobile Apps Testing,Python",Rahul Negi,4-8 Years,https://www.linkedin.com/company/nelito-systems-ltd,IT Services and IT Consulting,"1,360 employees","17,424 followers"
328,Proxgy,2020,Oct-50,Gurgaon,ERP Manager,Full Time,"NetSuite,ERP Implementation,Microsoft Dynamics NAV",Agartika Tomar,4-9 Years,https://www.linkedin.com/company/proxgy/about/,"Technology, Information and Internet",27 employees,"10,275 followers"
329,Saras Analytics,2016,Oct-50,Hyderabad,Senior Graphic Designer,Full Time,"2D Animation,3D Animation,Graphic Design,Adobe After Effects,Illustrator,InDesign,Photoshop",Swati Sharma,4-8 Years,https://www.linkedin.com/company/sarasanalytics/,Data Infrastructure and Analytics,185 employees,"8,980 followers"
330,Uber,2009,More than 1000,Bangalore,Staff / Sr. Staff Engineer,Full Time,".NET,C#,C++,Golang,Java",Nischala Ravisankar,12-16 Years,https://www.linkedin.com/company/uber-com,Software Development,"90,771 employees","2,726,215 followers"
331,ANZ Bank,1900,More than 1000,Bangalore,Cloud DevOps,Full Time,"AWS,Terraform,Python,CI - CD,DevOps",Chethan Kumar V,4-7 Years,https://www.linkedin.com/company/anz/about/,Banking,"48,010 employees","607,787 followers"
332,Awign,2016,200 - 500,Hyderabad,Data Engineer - Python,Full Time,Python,Deepa Rani,5-9 Years,https://www.linkedin.com/company/awign-enterprises/?originalSubdomain=in,"Technology, Information and Internet",926 employees,"64,014 followers"
333,eShopbox,2012,50 - 200,Pune,Fullstack Engineer,Full Time,"Java,React.js,Angular",Garnet Chaves,5-8 Years,-----,Not Available,Not Available,Not Available
334,FaithPLM Solutions,2008,0 - 10,Pune,Teamcenter Installer,Full Time,"Teamcenter,IT Support",K Sravani,7-12 Years,https://www.linkedin.com/company/faithplm-solutions/about/,Software Development,66 employees,"1,511 followers"
335,Fanatics,2002,More than 1000,Hyderabad,Software Architect,Full Time,"C,Golang,Java",Harshitha Macha,10-14 Years,https://www.linkedin.com/company/fanatics-inc-/,"Technology, Information and Internet","6,549 employees","123,660 followers"
336,GIST,2011,Oct-50,Noida,Learning & Development Manager,Full Time,"Learning and Development,Microsoft Office,HR Operations,Employee Grievances,Performance Management",Divya Shah Nandi,5-10 Years,https://www.linkedin.com/company/gistimpact/about/,Environmental Services,158 employees,"12,818 followers"
337,HealthAsyst,1999,200 - 500,Bangalore,Software Engineer,Full Time,"SQL,T-SQL,C#,MySQL",Bhuvaneshwari T,3-8 Years,https://www.linkedin.com/company/healthasyst,Software Development,345 employees,"25,405 followers"
338,Simplotel,2013,Oct-50,Bangalore,Customer Success Manager,Full Time,"Customer Service,Customer Relationship,Key Account Management,Customer Interaction,Hotel Operations",Suranjan Barman,2-7 Years,https://www.linkedin.com/company/simplotel,Hospitality,87 employees,"9,589 followers"
339,Svadhin Solutions,2016,0 - 10,Bangalore,Project Associate,Full Time,"AutoCAD,Microsoft Office,Civil Engineering,Customer Interaction,Project Management",Divya Shah Nandi,1-3 Years,https://www.linkedin.com/company/svadhin-solutions/about/,Accessible Architecture and Design,2 employees,7 followers
340,Svadhin Solutions,2016,0 - 10,Bangalore,Sales and Marketing Associate,Full Time,"Sales,Microsoft Office,Email Marketing,Social Media Marketing,Marketing",Divya Shah Nandi,1-3 Years,https://www.linkedin.com/company/svadhin-solutions/about/,Accessible Architecture and Design,2 employees,7 followers
341,Akamai,1998,500 - 1000,Bangalore,Android Developer,Full Time,"Android,Java,Kotlin",Shruti Verma,2-4 Years,-----,Not Available,Not Available,Not Available
342,Altimetrik,2012,More than 1000,Work From Home,Business Analyst,Full Time,"Agile,Business Analysis,API Testing,Microservices,Retail Operations",Kusha Bedre,6-10 Years,-----,Not Available,Not Available,Not Available
343,Brototype,2019,50 - 200,Bangalore,Video Editor - Kannada,Full Time,"Adobe Premiere Pro,Adobe After Effects",Dilshad Ahamed,0-1 Years,https://www.linkedin.com/company/brototype/about/,E-Learning Providers,"1,331 employees","20,079 followers"
344,CAW Studios,2017,50 - 200,Hyderabad,.NET Developer,Full Time,".NET,C++,JavaScript,ASP.NET,C#",Careers Caw,4-8 Years,https://www.linkedin.com/company/caw-studios/about/,Software Development,135 employees,"5,397 followers"
345,Critical Mass,1996,More than 1000,Bangalore,Motion Graphic Lead,Full Time,"Motion Graphics,Adobe Premiere Pro,Adobe After Effects,Cinema 4D,Figma",Shanmuga Priya G,6-11 Years,https://www.linkedin.com/company/critical-mass/about/,Advertising Services,"1,533 employees","56,408 followers"
346,Hike Education,2014,50 - 200,Gurgaon,Sales and Support,Full Time,"Customer Interaction,Customer Relationship,Customer Service,Key Account Management",Mayank Singh,1-2 Years,https://www.linkedin.com/company/hikeeducation/about/,Education Administration Programs,264 employees,"35,335 followers"
347,Kotak Mahindra Bank,1985,More than 1000,Mumbai,Product Engineering Lead,Full Time,"Android,iOS,Flutter,React Native",Anupam Gandhi,10-15 Years,https://www.linkedin.com/company/kotak-mahindra-bank/about/,Banking,"64,700 employees","901,094 followers"
348,Nanonets,2016,Oct-50,Work From Home,Account Executive,Full Time,"Key Account Management,Inbound Marketing,Lead Generation,Business Development",Tasmia Azhar,4-9 Years,https://www.linkedin.com/company/13236595/,Software Development,92 employees,"23,777 followers"
349,Numadic,2016,50 - 200,Work From Home,Software Engineer,Full Time,"JavaScript,React Native,React.js",Saranya R,2-5 Years,https://www.linkedin.com/company/numadic/about/,Financial Services,53 employees,"3,272 followers"
350,Zetwerk,2017,More than 1000,Bangalore,SDET,Full Time,"JavaScript,Selenium,HTML,SQL,MongoDB",Muskan Sonkhla,7-12 Years,https://www.linkedin.com/company/zetwerk/,Industrial Machinery Manufacturing,"1,698 employees","76,242 followers"
351,Annalect,2010,More than 1000,Bangalore,Technical Lead,Full Time,"PHP,React.js,HTML,CSS,Laravel",Aishwarya Raj,8-12 Years,https://www.linkedin.com/company/annalect-group/about/,Advertising Services,"1,116 employees","102,465 followers"
352,Beta Makers Lab,2020,Oct-50,Bangalore,Architect Interior Designer,Full Time,Interior Design,Ramya Shetty,2-4 Years,https://www.linkedin.com/company/betamakerslab/about/,Design,32 employees,"2,056 followers"
353,Bizongo,2014,200 - 500,Mumbai,Creative Lead,Full Time,"Graphic Design,Corel Draw,Illustrator,InDesign,Photoshop",Arifa Soorya,4-6 Years,-----,Not Available,Not Available,Not Available
354,CoreLogic,2010,More than 1000,Noida,Sr. Advanced Software Engineer,Full Time,"Java,DevOps,Angular,Microservices,AWS",Ankita Yadav STP,12-15 Years,https://www.linkedin.com/company/corelogic/about/,Information Services,"5,974 employees","121,308 followers"
355,Hiver,2011,50 - 200,Work From Home,Software Development Engineer - 3,Full Time,"Java,Node.js,Python,Django",Shalini Chandra,5-8 Years,https://www.linkedin.com/company/grexit/,Not Available,Not Available,Not Available
356,insightsoftware,2018,More than 1000,"Bangalore, Hyderabad, Work From Home",Software Engineer - .NET Backend,Full Time,".NET,ASP.NET,C#",Saurabh Pandey,3-5 Years,https://www.linkedin.com/company/outcomes-by-insightsoftware/about/,Software Development,"1,786 employees","176,626 followers"
357,Oliver Wyman,1984,More than 1000,Hyderabad,Data Engineer,Full Time,"Azure,SQL,ETL,Python,PySpark",Anupam Gandhi,5-8 Years,https://www.linkedin.com/company/oliver-wyman,Business Consulting and Services,"8,325 employees","621,841 followers"
358,oorja,2023,Oct-50,Bangalore,Engineering Director,Full Time,Engineering Management,Ankita Sharma,5-10 Years,https://www.linkedin.com/company/oorja-energy/about/,Software Development,31 employees,"1,001 followers"
359,PhonePe,2015,More than 1000,Bangalore,Software Development Engineer - Backend,Full Time,"Java,Data Structures,LLD,Spring,Algorithms",Madhusudhan K,5-10 Years,https://www.linkedin.com/company/phonepe-internet/,"Technology, Information and Internet","9,606 employees","739,543 followers"
360,PhonePe,2015,More than 1000,Bangalore,Software Engineer,Full Time,"Java,Data Structures,Algorithms,Microservices,Elasticsearch",Likhitha B N,8-11 Years,https://www.linkedin.com/company/phonepe-internet/,"Technology, Information and Internet","9,606 employees","739,543 followers"
361,Akribiz Business Solutions,1997,50 - 200,Noida,Field Sales Executive,Full Time,"Sales,Corporate Sales,Networking",Itisha Goel,0-1 Years,https://www.linkedin.com/company/akribiz-business-solutions-pvt.-ltd./about/,Retail Office Equipment,57 employees,996 followers
362,AlgoShack,2018,200 - 500,Bangalore,AWS Python Developer,Full Time,"Python,Flask",Remya Pillai,5-9 Years,https://www.linkedin.com/company/algoshack/about/,IT Services and IT Consulting,147 employees,"5,333 followers"
363,Capgemini,1967,More than 1000,Pune,Sahrepoint Powerapps Developer,Full Time,"Microsoft Power Apps,Canvas",Shobana R,6-11 Years,https://www.linkedin.com/company/157240/,IT Services and IT Consulting,"295,959 employees","6,092,563 followers"
364,CHEManager,1992,200 - 500,Mumbai,Product Manager - Pharma,Full Time,"Product Management,Market Research,Pharmaceutics,Sales,Customer Relationship",Parth Naik,8-10 Years,https://www.linkedin.com/company/chemanager/about/,Newspaper Publishing,3 employees,"18,333 followers"
365,HealthAsyst,1999,200 - 500,Bangalore,Software Engineer,Full Time,"SQL,C#,T-SQL",Rakesh Patil,3-5 Years,https://www.linkedin.com/company/healthasyst,Software Development,345 employees,"25,405 followers"
366,Keka HR,2016,50 - 200,Hyderabad,Wordpress Developer,Full Time,"Wordpress,JavaScript,PHP,HTML,CSS",Rovena Dsouza,2-4 Years,https://www.linkedin.com/company/keka-hr,Human Resources Services,829 employees,"49,458 followers"
367,NiYO Solutions,2015,200 - 500,Bangalore,Principle Engineer - Backend,Full Time,"Node.js,Golang,AWS",Priyanka Mahindrakar,8-11 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,785 followers"
368,OptIQ.AI,2021,0 - 10,Bangalore,Product Marketing Manager,Full Time,"Product Marketing,Marketing,DevOps,GTM,Digital Marketing",Abhishek Singh,5-10 Years,https://in.linkedin.com/company/optiqai,Software Development,15 employees,"1,167 followers"
369,Tessell,2021,Oct-50,Bangalore,Data Platform Engineer,Full Time,"Java,Data Structures,Terraform,Python,AWS",Tapish Bhattkoti,8-12 Years,https://www.linkedin.com/company/tessell-inc/about/,Software Development,82 employees,"3,397 followers"
370,upGrad,2015,50 - 200,Bangalore,Software Engineer - Backend Developer,Full Time,"Java,Spring Boot,Microservices,MongoDB,NoSQL",Adhishree Gupta,3-7 Years,https://www.linkedin.com/school/15101462/,Higher Education,78 employees,"12,193 followers"
371,Eightfold AI,2016,200 - 500,Bangalore,Solution Architect,Full Time,"Python,REST Assured,Customer Service,SQL",Sonam Yadav,2-7 Years,https://www.linkedin.com/company/eightfoldai/,Software Development,643 employees,"90,825 followers"
372,Hotstar,2015,500 - 1000,Bangalore,Senior Software Development Engineer - Data,Full Time,"Data Streaming,Data Warehousing,NoSQL,Search,Cassandra,Elasticsearch,HBase,Kafka,MongoDB,Snowflake,Solr,Teradata",Partha Dewri,4-7 Years,-----,Not Available,Not Available,Not Available
373,LinkedIn,2002,More than 1000,Bangalore,Java Developer,Full Time,"Java,Microservices,Spring Boot,Data Structures,Algorithms",Prasoon Murthy N,4-9 Years,https://www.linkedin.com/company/linkedin/about/,Software Development,"25,453 employees","23,850,571 followers"
374,LTIMindtree,1996,More than 1000,Bangalore,SAP Treasury Consultant,Full Time,"Asset Management,EDI,IDOC,Liquidity Management,Accounting",Bhaskar Anand,4-9 Years,https://www.linkedin.com/company/ltimindtree/about/,IT Services and IT Consulting,"96,704 employees","3,311,125 followers"
375,LTIMindtree,1996,More than 1000,Mumbai,SAP Treasury Consultant,Full Time,"Treasury Operations,EDI,IDOC,Asset Management,Liquidity Management",Bhaskar Anand,7-12 Years,https://www.linkedin.com/company/ltimindtree/about/,IT Services and IT Consulting,"96,704 employees","3,311,125 followers"
376,Mirafra Technologies,2004,More than 1000,Hyderabad,AI Developer,Full Time,"C++,Machine Learning,Algorithms,Data Structures,Embedded C++",Mythili Achappa,1-5 Years,https://www.linkedin.com/company/mirafra-technologies/,Software Development,"1,067 employees","52,060 followers"
377,NiYO Solutions,2015,200 - 500,Bangalore,Principal Engineer - QA,Full Time,"Selenium,Appium,Manual Testing,Automation Testing,AWS",Rovena Dsouza,7-10 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,785 followers"
378,Synergy Softwares,1993,50 - 200,Noida,PHP Developer,Full Time,"PHP,Laravel",Toshi Bhilwar,2-4 Years,https://www.linkedin.com/company/synergy-softwares/about/,IT Services and IT Consulting,20 employees,"2,463 followers"
379,Tredence Inc,2013,500 - 1000,Bangalore,Databricks COE Lead,Full Time,"Databricks,Data Analysis,COE,Spark,Azure Data Lake",Ruchi Yadav,15-20 Years,https://www.linkedin.com/company/tredence/,Business Consulting and Services,"1,949 employees","192,161 followers"
380,Tredence Inc,2013,500 - 1000,Bangalore,Presales Solution Architect,Full Time,"Presales,Solution Architecture,Data Warehousing,Data Analysis,Proposal Writing",Ruchi Yadav,13-18 Years,https://www.linkedin.com/company/tredence/,Business Consulting and Services,"1,949 employees","192,161 followers"
381,Bullsmart,2022,Oct-50,Bangalore,Sales Executive,Full Time,"Business Development,Direct Sales,Sales",Keerthana Kolle,0-2 Years,https://www.linkedin.com/company/bullsmart/,"Technology, Information and Internet",54 employees,"9,618 followers"
