Sr No.,Company Name,Estab_year,Employees_count,Location,Designation,Involvement,Skills,HR_Name,Experience,linkedIN,Industry,LinkedIn Emp Count,LinkedIn Followers
747,SpurX,2017,Oct-50,Pune,Chief Sale & Marketing Officer,Full Time,"Business Development,Corporate Sales,Sales",Aarif Siddiqui,3-5 Years,-----,Not Available,Not Available,Not Available
748,SpurX,2017,Oct-50,Pune,Executive Business Development Sales & Marketing,Full Time,"Business Development,Corporate Sales,Sales",Aarif Siddiqui,1-3 Years,-----,Not Available,Not Available,Not Available
749,Squadcast,2017,Oct-50,Work From Home,Site Reliability Engineer 3,Full Time,"DevOps,AWS,Python,Docker,Kubernetes",Priyanka Kumari,6-11 Years,https://www.linkedin.com/company/squadcast/,IT Services and IT Consulting,72 employees,"5,795 followers"
750,WidasConcepts India,2015,50 - 200,Bangalore,Infrastructure Architect,Full Time,"Ansible,CI - CD,Docker,IT Infrastructure,Kubernetes,Prometheus,VPN",Subhashree Mallick,7-11 Years,https://www.linkedin.com/company/widasconcepts-india-private-limited/about/,Not Available,Not Available,Not Available
751,2Factor,2015,0 - 10,Bangalore,DevOps Manager,Full Time,"AWS,Python,DevOps,Docker,CI - CD",Megha Joshi,9-14 Years,https://www.linkedin.com/company/solv-technologies/?originalSubdomain=in,Telecommunications,9 employees,"4,295 followers"
752,Avaamo,2014,50 - 200,Work From Home,Fullstack Developer,Full Time,"React.js,Node.js",Suman Kumari,3-8 Years,https://www.linkedin.com/company/avaamo/?originalSubdomain=in,Software Development,120 employees,"7,151 followers"
753,Booming Bulls Academy,2019,50 - 200,Gurgaon,Inside Sales Executive,Full Time,"Presales,Public Relations,Corporate Communication",Itisha Goel,0-1 Years,https://www.linkedin.com/company/boomingbulls/about/,Education Administration Programs,75 employees,"3,488 followers"
754,CoreLogic,2010,More than 1000,Noida,Dot .NET Developer,Full Time,".NET,ASP.NET,C#,CSS,Java",Vanshita Singh,0-1 Years,https://www.linkedin.com/company/corelogic/about/,Information Services,"5,974 employees","121,310 followers"
755,Exeter Premedia Services,2004,50 - 200,Chennai,Frontend Developer,Full Time,"CSS,HTML,JavaScript,Angular,jQuery,React.js",Seema Patil,1-3 Years,https://www.linkedin.com/company/exeter-premedia-services/about/,Book and Periodical Publishing,189 employees,"3,510 followers"
756,Flipkart,2007,More than 1000,Bangalore,Software Development Engineer 2,Full Time,"C++,Golang,Java,Ruby,Scala",Aishwarya,3-5 Years,https://www.linkedin.com/company/flipkart,"Technology, Information and Internet","50,358 employees","3,609,065 followers"
757,MediBuddy,2013,More than 1000,Bangalore,Engineering Manager,Full Time,"JavaScript,Node.js,Python",Suhas S HR Talent Acquisition,9-13 Years,https://www.linkedin.com/company/medibuddy/,Wellness and Fitness Services,"1,072 employees","49,609 followers"
758,Reliance Nippon Life Insurance,2000,More than 1000,Mumbai,Taxation Manager,Full Time,"GST,TDS,Taxation,Finance,Income Tax",Poonam Thute,1-3 Years,https://www.linkedin.com/company/reliance-life-insurance-company/about/,Insurance,"11,109 employees","59,366 followers"
759,SpurX,2017,Oct-50,Pune,Manager Sales Marketing & Business Developer,Full Time,"Brand Management,Marketing Communication",Aarif Siddiqui,2-3 Years,-----,Not Available,Not Available,Not Available
760,Suez,1880,More than 1000,Gurgaon,Graduate Expert Data Engineer,Full Time,"Data Analysis,Data Streaming,Data Warehousing,ETL,NoSQL,Kafka,Oracle Database,Spark,SQL",Neha Gupta,0-1 Years,https://www.linkedin.com/company/suez/,Environmental Services,"24,974 employees","726,103 followers"
761,Allen Career Institute,1988,More than 1000,Bangalore,Staff Software Engineer,Full Time,"JavaScript,React.js",Harshita Sahu,3-5 Years,https://www.linkedin.com/company/allen-career-institute/,Education Administration Programs,"6,842 employees","97,687 followers"
762,CS Soft Solutions,2009,200 - 500,Gurgaon,Lead Developer - Java Spring,Full Time,"Java,Spring,AWS",Opportunity Rm,5-10 Years,https://www.linkedin.com/company/cssoft-solutions-pvt.-ltd./about/,IT Services and IT Consulting,475 employees,"11,524 followers"
763,CS Soft Solutions,2009,200 - 500,Bangalore,UI Developer,Full Time,"React.js,JavaScript,Python,Node.js,AWS",Opportunity Rm,4-9 Years,https://www.linkedin.com/company/cssoft-solutions-pvt.-ltd./about/,IT Services and IT Consulting,475 employees,"11,524 followers"
764,Delhivery,2011,More than 1000,Panaji,Customer Service Associate,Full Time,"Customer Interaction,Customer Relationship,Customer Service",Maumita Pan,1-4 Years,https://www.linkedin.com/company/delhivery/about/,"Transportation, Logistics, Supply Chain and Storage","20,082 employees","738,303 followers"
765,Dyte,2020,50 - 200,Bangalore,Engineering Manager,Full Time,"Engineering Management,Golang,Node.js,PostgreSQL,Redis,TypeScript",Rishika Singh,5-9 Years,https://www.linkedin.com/company/dytein/about/,Software Development,58 employees,"4,663 followers"
766,EY,1989,More than 1000,Noida,Fullstack Developer - Java,Full Time,"Java,Spring Boot,React.js,Microservices,PostgreSQL",Nidhi Singh,5-10 Years,https://www.linkedin.com/company/ernstandyoung/about/,Professional Services,"364,614 employees","7,957,710 followers"
767,Horizon Broadband,2018,Oct-50,Bangalore,QA Engineer,Full Time,"Zephyr,Mobile Apps Testing,Amazon CloudWatch,Manual Testing,SQL",Pradeep Yadav,3-7 Years,https://www.linkedin.com/company/horizon-broadband-llp/about/,Media and Telecommunications,27 employees,671 followers
