,Job_id,company_id,Location,Designation,details_id
52,18537,4759,Bangalore,ML Engineer,648
53,13793,9360,Work From Home,Senior Backend Engineer,747
54,17635,1749,Bangalore,Sr. Data Engineer,925
55,16523,9676,Mumbai,Human Resources Business Partner,288
56,19195,3628,Bangalore,Senior Software Engineer,449
57,10657,7249,Work From Home,iOS Developer,725
58,11130,6015,Mumbai,Data Scientist,874
59,17644,4436,Mumbai,Partnerships Associate,467
60,10599,4931,Mumbai,DG Expert,330
61,13043,3134,Hyderabad,IT Support Specialist,561
62,10809,6701,Bangalore,SDE 4 / SDL,704
63,13289,6499,Pune,Channel Sales Manager,561
64,14296,8090,Work From Home,Senior QA Engineer,940
65,18339,5257,Bangalore,Principal Engineer,971
66,15018,1422,Bangalore,QA Engineer,383
67,11470,8938,"Delhi, Noida, Work From Home",3D Designer,642
68,16391,8938,Noida,Sales Cordinator,956
69,16289,4303,Noida,SAP SD Consultant,793
70,10290,6730,Bangalore,Full Stack Engineer,406
71,16059,6730,Bangalore,Lead Technical Customer Support,638
72,12901,5246,Bangalore,Software Developer,333
73,14903,6210,Gurgaon,Business Operations Head,454
74,15266,8936,Noida,Sales Associate,616
75,11942,8234,Pune,Sr. .NET Developer,955
76,19747,8609,Bangalore,Business Analyst,170
77,11613,8609,Bangalore,Business Analyst,380
78,10830,9682,Pune,Sr. Accountant,802
79,18857,9861,Gurgaon,Assistant Brand Manager,224
80,16438,9648,Gurgaon,Quantitave Research Trader,385
81,10927,5014,Hyderabad,Assistant Manager - Digital Marketing,176
82,17456,2196,Bangalore,React Native Engineer,116
83,13699,6319,Bangalore,Relationship Manager,940
84,13615,2531,Gurgaon,Engineering Manager,167
85,17293,2199,Noida,Product Manager,547
86,15541,1192,Bangalore,SDE - 2 (Node.js),321
87,16769,8936,Bangalore,Principal Engineer,428
88,19336,9046,Bangalore,Salesforce QA,628
89,16410,7781,Bangalore,Senior Python and MLOps Engineer,621
90,17115,6014,Bangalore,Technical Sourcer,325
91,10443,9810,Bangalore,Technical Architect - Android Device,484
92,13815,7742,Work From Home,GRC Manager / Compliance Lead,287
93,18133,2196,Bangalore,React Native Developer,516
94,15478,8007,Bangalore,Software Developer,160
95,12336,6073,Gurgaon,Software Developer Engineer - Backend,606
96,18075,6136,Work From Home,QA Intern (Internship),302
97,13035,7011,Gurgaon,UI / UX Engineer SS24,589
98,19438,4339,Hyderabad,Java Full Stack Developer,893
99,12069,5480,Mumbai,Finance Manager,224
100,19287,1192,Bangalore,SDE2 - Backend,225
101,12327,5065,Greater Noida,Inside Sales - Counsellor,302
102,18030,7233,Bangalore,System Engineer,497
103,12619,1144,Bangalore,Azure Data Engineer / Azure Databricks,731
104,12089,8208,Bangalore,Talent Acquisition Specialist,941
105,19703,5192,Noida,Presales Manager,206
106,19445,6015,Mumbai,Tech Lead,837
107,17954,5388,Bangalore,Product Manager,661
108,15871,4069,Bangalore,Business Development Intern (Internship),448
109,16074,7664,Bangalore,Software Engineer - Integration,674
110,11778,6243,Noida,Lead Software Engineer,218
111,13255,6243,Noida,Lead Software Engineer,165
112,16082,6243,Noida,Software Engineer,218
113,17711,6243,Noida,Software Engineer,165
114,18967,5286,Ahmedabad,Lead Generation Executive,513
115,17388,3470,Gurgaon,Sales Executive,773
116,16386,3470,Gurgaon,Sales Executive,361
117,11380,3470,Noida,Sales Executive,773
118,11506,3470,Noida,Sales Executive,361
119,17653,1733,Bangalore,Senior Data Analyst,542
